UWI,Well Short Name,EASTING,NORTHING,MAP_DATUM,SURF_LAT,SURF_LONG,UTMZONE,Well Status,KB (m),GL (m),"Final Interpretation, Ice-bearing permafrost base, Base of fully frozen (mKB)",Final Interpretation Ice-bearing permafrost base Base of fully frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Formation,Final Interpretation Ice-bearing permafrost base Base of partially frozen (mKB),Final Interpretation Ice-bearing permafrost base Base of partially frozen (mGL/SF),Final Interpretation Ice-bearing permafrost base Quality,Final Interpretation Ice-bearing permafrost base Transition zone thickness (m),Final Interpretation Ice-bearing permafrost base Formation/ Sequence ,Final Interpretation Ice-bearing permafrost base PF present,Final Interpretation Ice-bearing permafrost base Data used for final pick*,Base of permafrost interpretations from different methods Temperature surveys PF (mKB),Base of permafrost interpretations from different methods Temperature surveys IBPF(mKB),Base of permafrost interpretations from different methods Temperature surveys Quality,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,"Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of fully frozen, Quality",Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mKB),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Base of partially frozen (mGL/SF),Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Indicator,Base of permafrost interpretations from different methods Well logs and well seismic surveys (WSS) Quality,Comments
300J206910135150,Shavilig J-20,487850,7672297,NAD83,69.160575,-135.306036,08W,Abandoned,9.2,2.7,50,43,c,Iperk,,,,,,Yes,"BT, WH",,,,<200,,Logs start at 200m,,,,,,
300P606840133300,Sholokpaoqak P-60 (E. Reindeer P-60),552003,7617263,NAD83,68.662424,-133.719287,08W,Abandoned,115.8,110.6,80,74.8,b,Aklak,150,145,b,70,Aklak,Yes,GP,,,,80,74.8,"RT,SP",b,150,144.8,"RT,SP,WSS",b,
300A126910133300,Siku A-12,558151,7656913,NAD83,69.016693,-133.544795,08W,Gas,67.7,62.2,349,343.5,a,Aklak,,,,,,Yes,TS,365,349±8,a,<1143,,Logs start at 1143m,,,,,,
300C116910133300,Siku C-11,557321,7655177,NAD83,69.001303,-133.56657,08W,Gas,63.1,57.9,363,357.8,a,Aklak,,,,,,Yes,TS,385,363±8,a,357,351.8,"RT,SP,CAL",a,,,,,
300C556910133300,Siku C-55,550415,7662433,NAD83,69.067722,-133.735482,08W,Abandoned,39.3,33.8,528,522.5,b,Aklak,558,553,c,30,Aklak,Yes,GP,,,,528,522.5,"RT,SP,WSS",b,558,552.5,"RT, SP",c,
300E216910133300,Siku E-21,555249,7655885,NAD83,69.008079,-133.617961,08W,Gas,64.6,55.3,398,388.7,a,Aklak,,,,,,Yes,TS,403,398±8,a,<540,,Logs start at 230m,,,,,,
300I057030134300,Siulik I-05,518187,7811710,NAD83,70.410368,-134.513957,08W,Oil,12.2,-52,470,406,c,Iperk,,,,,,Yes,"BT, WH",,,,">340, <636",,Logs start at 636m,,,,,,
300N586910138300,Spring River Yt. N-58,589932,7670651,NAD83,69.131201,-138.737439,07W,Abandoned,96.9,92.7,42.6,38.4,c,Quaternary,,,,,,Yes,"WSS, WH",,,,42,37.8,WSS,c,,,,,consider lithology from well history report
300C426930134450,Taglu C-42,501968,7693537,NAD83,69.351319,-134.949998,08W,Gas,12.2,1.7,439.4,428.9,a,Mackenzie Bay,564,554,a,125,Mackenzie Bay,Yes,GP,610,,c,439.4,428.9,"RT,DT,SP,WSS",a,564,553.5,"RT,DT,WSS",a,
300D436930134450,Taglu D-43 (F-43),501852,7695669,NAD83,69.370431,-134.952891,08W,Gas,11.8,1.5,548,537.7,a,Mackenzie Bay,621,611,a,73,Mackenzie Bay,Yes,GP,633,,c,548,537.7,"RT,CAL,WSS,SP",a,631,620.7,"RT,DT,SP,WSS",a,
300D556930134450,Taglu D-55,500174,7699391,NAD83,69.403819,-134.995564,08W,Abandoned,11.5,1.3,510,499.8,c,Mackenzie Bay,,,,,,Yes,TS,510,,c,550,539.8,">533, <884, WSS",c,,,,,IBPF is 305m from well history report
300G336930134450,Taglu G-33,504077,7695799,NAD83,69.371573,-134.896311,08W,Gas,7.9,1.8,525,519,c,Mackenzie Bay,,,,,,Yes,WSS,,,,510~540,,WSS,c,,,,,IBPF is 64m from well history report
300H546930134450,Taglu H-54,501135,7697719,NAD83,69.38882,-134.971116,08W,Gas,10.6,1.5,513,503.8,a,Mackenzie Bay,,,,,,Yes,TS,542,513±15,a,482.8,473.7,"RT,SP,CAL,WSS",a,514,504.9,"RT,WSS",b,
300H066930135000,Taglu West H-06,499568,7701575,NAD83,69.423402,-135.011012,08W,Abandoned,10.5,1.3,514,504.8,b,Mackenzie Bay,543,534,b,29,Mackenzie Bay,Yes,GP,,,,514,504.8,"RT,WSS,SP",b,543,533.8,"RT,SP,WSS",b,
300P036930135000,Taglu West P-03,499629,7696944,NAD83,69.381872,-135.009447,08W,Gas,8.5,1.2,482,475,c,Mackenzie Bay,,,,,,Yes,WSS,,,,<760,,Logs start at 760m,,,,,,integrate WSS with IBPF from neighbor well Taglu H-54. IBPF is 363m from WH
300A257000136150,Tarsiut A-25,448543,7755616,NAD83,69.902946,-136.34192,08W,Gas and oil,12.8,-22.9,380,344.3,c,Iperk,,,,,,Yes,WSS,,,,380,344.3,WSS,,,,,,
300K917020132300,Tingmiark K-91,576246,7786842,NAD83,70.176722,-132.985149,08W,Abandoned,11.5,-28.3,552,512.1,c,Iperk,552,512,c,,Iperk,Yes,BT,,,,<1219,,Logs start at 1219m,,,,,,
300K266910135000,Titalik K-26,495743,7664577,NAD83,69.091575,-135.106876,08W,Gas,11.6,4.6,72,65,d,Iperk,,,,,,Yes,TS,72,,d,<167,,Logs start at 167m,,,,,,
300O156910135000,Titalik O-15,497767,7663583,NAD83,69.082686,-135.056038,08W,Suspended,9.7,4.6,80,74.9,b,Iperk,105,100,b,25,Iperk,Yes,GP,,,,80,74.9,"RT,WSS,SP",b,105.3,100.2,"RT,WSS",b,
300H246920134450,Toapolok H-24,506215,7679079,NAD83,69.221589,-134.84302,08W,Abandoned,15.8,10.7,319,313.9,a,Richards,337,332,b,18,Richards,Yes,GP,,,,319,313.9,"RT,DT,CAL,SP,WSS",a,337,331.9,"RT,WSS",b,
300O546920134450,Toapolok O-54,500871,7680294,NAD83,69.232559,-134.977995,08W,Abandoned,11.6,3,211,202.4,b,Kugmallit,,,,,,Yes,GP,,,,211,202.4,"RT,SP,WSS",b,,,,,
300B026930133000,Tuk B-02,577955,7694998,NAD83,69.35311,-133.018742,08W,Oil,19.9,10.2,371,361.2,a,Aklak,408,398,a,37,Aklak,Yes,GP,,,,371,361.3,"RT,DT,CAL",a,408,398.3,"RT,DT,CAL",a,
300B406920133000,Tuk B-40,573233,7691205,NAD83,69.320447,-133.141581,08W,Oil,20.6,16.1,446,441.5,b,Aklak,477,472,b,31,Aklak,Yes,GP,,,,446,441.5,"RT,WSS",b,476.6,472.1,"RT,CAL,WSS",b,
300E206920133000,Tuk E-20,575416,7691427,NAD83,69.321834,-133.08605,08W,Abandoned,18.6,8,371,360.4,a,Aklak,,,,,,Yes,GP,,,,371,360.4,"RT,DT,CAL",a,,,,,
300F186920133000,Tuk F-18,576168,7688051,NAD83,69.291363,-133.069685,08W,Abandoned,25.9,21,370,365.1,c,Aklak,,,,,,Yes,WSS,,,,~370,,WSS,,,,,,consider IBPF data of neighbor well Tuk M-18
300G396920133000,Tuk G-39,573028,7689628,NAD83,69.306364,-133.147998,08W,Suspended,21.9,17.4,460,456,c,Aklak,480,476,b,20,Aklak,Yes,"GP, WH",,,,">330,<470",,Logs,c,480,476,"RT,CAL,WSS",b,IBPF is about 463m from drilling time log
300G486920133000,Tuk G-48,571558,7687731,NAD83,69.289755,-133.186666,08W,Oil,18.2,13.7,448,444,b,Aklak,472,468,b,24,Aklak,Yes,GP,,,,448,443.5,"RT,CAL,WSS",b,472,468,"RT,CAL,WSS",b,
300H306920133000,Tuk H-30,575262,7691485,NAD83,69.32239,-133.089911,08W,Gas and oil,12.4,7.6,386,381.2,a,Aklak,,,,,,Yes,GP,,,,386,381.2,"RT,CAL,SP",a,,,,,
300J296920133000,Tuk J-29,574900,7690255,NAD83,69.311474,-133.10005,08W,Gas and oil,16.9,10.6,302.9,296.6,a,Aklak,359,353,b,56,Aklak,Yes,GP,,,,302.9,296.6,"RT,SP,CAL",a,359,352.7,"RT,SP",b,IBPF is about 318m from rate of penetration
300L096920133000,Tuk L-09 (M-09),577277,7690429,NAD83,69.312361,-133.039657,08W,Gas,31.2,24,317,310,b,Aklak,352,345,a,35,Aklak,Yes,GP,,,,317,309.8,"RT,WSS",a,352,344.8,"RT,WSS",a,
300M186920133000,Tuk M-18,575779,7688708,NAD83,69.297363,-133.07902,08W,Gas,23.8,14,368,358.2,b,Aklak,,,,,,Yes,GP,,,,368,358.2,DT,b,,,,,
300O196920132450,Tuktu O-19,586416,7691062,NAD83,69.31525,-132.80745,08W,Abandoned,30.5,25.6,320,315,c,Aklak,351,346,c,31,Aklak,Yes,WSS,,,,320,315.1,WSS,c,351,346.1,WSS,c,
300A126930133000,Tuktuk A-12,576642,7694649,NAD83,69.350361,-133.052355,08W,Oil,18.5,11.9,402,395,c,Aklak,470,463,b,68,Aklak,Yes,"GP, WH",,,,">260,<460",,Well logs,,470,463.4,"RT,DT,SP,WSS",b,
300D116930133000,Tuktuk D-11,575577,7693072,NAD83,69.336529,-133.080661,08W,Gas and oil,13.7,9.6,354,349.9,b,Aklak,400,396,b,46,Aklak,Yes,GP,,,,354,349.9,"RT,WSS,SP",b,400,395.9,"RT,WSS",b,
300H226930133000,Tuktuk H-22,575274,7695244,NAD83,69.356083,-133.086636,08W,Abandoned,14.6,10.2,482,478,b,Aklak,540,536,b,58,Aklak,Yes,GP,,,,482,477.6,"RT,DT,WSS,CAL,SP",b,540,535.6,"RT,DT,WSS,SP",b,
300K316900135000,Tullugak K-31,493608,7636704,NAD83,68.841558,-135.158671,08W,Abandoned,9.6,1.1,73,64.5,b,Iperk,100,92,b,27,Aklak,Yes,GP,,,,73,64.5,"RT,SP",b,100,91.5,"RT,SP",b,
300F306900134300,Tununuk F-30,515420,7653224,NAD83,68.989357,-134.614636,08W,Abandoned,35.9,29.9,242,235.9,b,Taglu,320,314,b,78,Taglu,Yes,GP,,,,242,236,"RT,CAL,RHOB,WSS,SP",b,320,314,"RT,CAL,RHOB,WSS,SP",b,IBPF is about 329m from well history report
300K106900134450,Tununuk K-10,508849,7653873,NAD83,68.995467,-134.778786,08W,Gas,10.9,5.5,96,90.6,b,Iperk,,,,,,Yes,GP,,,,96,90.6,"RT,SP,WSS",b,,,,,
302C507010132300,Ukalerk C-50-2,585903,7784365,NAD83,70.151476,-132.732633,08W,Gas,11.3,-29.9,580,539,c,Iperk,676,635,b,96,Iperk,Yes,GP,,,,580,538.8,WSS,c,676,634.8,"RT,CAL,RHOB,WSS",b,
300C507010132300,Ukalerk C-50,585678,7784366,NAD83,70.15156,-132.738549,08W,Gas,11.6,-41.5,592.4,539,a,Iperk,688,635,a,96,,Yes,GP,,,,592.4,539.3,"RT,DT,WSS,SP",a,688,634.9,"RT,DT,WSS",a,
300A356850135450,Ulu A-35,464174,7624933,NAD83,68.733755,-135.88511,08W,Abandoned,11.3,2.7,99,90.4,a,Iperk,,,,,,Yes,TS,99,,a,60,51.4,"RT,CAL",a,99,90.4,"RT,SP",a,
300J376930134150,Umiak J-37,523968,7703913,NAD83,69.443297,-134.388364,08W,Abandoned,28.9,20.4,672,664,a,Mackenzie Bay,719,711,a,47,Mackenzie Bay,Yes,GP,,,,672,663.5,"RT,DT,CAL,WSS,SP",a,719.4,710.9,"RT,WSS",a,
300N056930134150,Umiak N-05,528445,7700884,NAD83,69.415696,-134.275038,08W,Gas,42,32.5,659,649.5,c,Kugmallit,740,731,b,,Kugmallit,Yes,"WSS, WH",,,,659,649.5,WSS,c,740,730.5,"RT,WSS",b,integrate WSS with drilling parameters log
300N106930134150,Umiak N-10,528284,7709969,NAD83,69.497185,-134.276414,08W,Abandoned,43.9,34.4,701,691.5,a,Kugmallit,770,760,b,69,Kugmallit,Yes,GP,,,,701,691.5,"RT,RHOB,CAL,SP",a,769.7,760.2,"RT,CAL,SP",b,
300N166930134150,Umiak N-16,526731,7702614,NAD83,69.431386,-134.31823,08W,Gas,66.8,54.9,672,660.1,c,Kugmallit,762,750,c,90,Kugmallit,Yes,WH,,,,<680,,Logs start at 680m,,762,750.1,"RT,DT,CAL",b,from drilling parameters log
300B116850135150,Unak B-11,487261,7617511,NAD83,68.669209,-135.313813,08W,Abandoned,10.1,2.4,76,68.3,c,Iperk,,,,,,Yes,"WSS, WH",,,,76,68.3,WSS,,,,,,
300L286850135150,Unak L-28,485022,7631424,NAD83,68.79388,-135.371025,08W,Gas,14,1.2,51,38,a,Taglu,79,67,b,28,Taglu,Yes,GP,,,,51,38.2,"RT,SP,WSS",a,79.4,66.6,"RT,SP,WSS",b,
300L246940134300,Unark L-24,514831,7716667,NAD83,69.558334,-134.6195,08W,Abandoned,9.8,-1.8,614,602.4,b,Mackenzie Bay,655,643,b,41,Mackenzie Bay,Yes,GP,,,,614,602.4,"DT,CAL,WSS",b,655,643.4,"DT,CAL,WSS",b,
302L246940134300,Unark L-24A,514815,7716673,NAD83,69.558389,-134.619917,08W,Abandoned,9.8,-1.8,614,602.4,b,Mackenzie Bay,655,643,b,41,Kugmallit,Yes,GP,,,,614,602.4,"DT,CAL",b,655,643.4,"DT,CAL",b,
300B126920135150,Unipkat B-12,487718,7674851,NAD83,69.183465,-135.30968,08W,Abandoned,8.9,3.3,40,34.4,b,Iperk,60,54,b,20,Iperk,Yes,GP,,,,40,34.4,"RT,CAL,SP,WSS",b,60,54.4,"RT,SP,WSS",b,
300I226920135150,Unipkat I-22,486376,7675991,NAD83,69.19363,-135.343682,08W,Abandoned,9.8,1.5,94,85.7,a,Iperk,,,,,,Yes,TS,94,,a,60,51.7,"RT,WSS",a,,,,,
300M456920135150,Unipkat M-45,,,NAD83,69.24873834,-135.4585048,,Abandoned,6.8,1,73,67,c,Iperk,,,,,,,,,,,,,,,,,,,
300N126920135150,Unipkat N-12,487256,7676526,NAD83,69.198465,-135.321545,08W,Gas and oil,8.3,1.8,65,59,c,Quaternary,,,,,,Yes,"BT, WH",,,,<200,,Logs start at 200m,,,,,,
300A426930135150,Upluk A-42,483122,7693780,NAD83,69.352971,-135.428892,08W,Abandoned,22.3,13.7,245,236.4,b,Iperk,373,365,b,128,Richards,Yes,GP,,,,245,236.4,"RT,CAL,SP,RHOB",b,373.4,364.8,"RT,CAL,RHOB",b,
300C216930135150,Upluk C-21,485833,7691749,NAD83,69.334915,-135.359719,08W,Abandoned,23.1,15.2,209,201,a,Iperk,255,247,a,46,Iperk,Yes,GP,,,,209,201.1,"RT,CAL,RHOB,WSS",a,255,247.1,"RT,CAL,RHOB,WSS",a,
300L426930135150,Upluk L-42,481867,7694619,NAD83,69.360414,-135.460951,08W,Abandoned,31.5,20.7,305,294,a,Iperk,460,449,a,155,Richards,Yes,GP,,,,305.3,294.5,"RT,DT,RHOB,CAL,WSS",a,460,449.2,"RT,DT,WSS",a,
300M386930135150,Upluk M-38,483644,7706322,NAD83,69.465477,-135.41781,08W,Abandoned,25.9,16.9,361.2,352.2,a,Iperk,432,423,a,71,Iperk,Yes,GP,,,,361.2,352.2,"RT,RHOB,SP,CAL,WSS",a,432,423,"RT,RHOB,SP,CAL,WSS",a,
300P667020132000,Uviluk P-66,601123,7797484,NAD83,70.263463,-132.31614,08W,Abandoned,30,-29.7,657,597.3,a,Iperk,726,666,a,69,Iperk,Yes,GP,,,,657,597.3,"RT,CAL,WSS,SP",a,726,666.3,"RT,WSS",a,
300C236920133150,Wagnark C-23,564779,7677554,NAD83,69.200242,-133.365238,08W,Abandoned,30.6,23.4,518,510.8,b,Aklak,,,,,,Yes,GP,,,,518,510.8,"WSS,RHOB,NPHI",b,,,,,
300G126920133150,Wagnark G-12,567136,7676379,NAD83,69.18913,-133.306623,08W,Abandoned,38.5,30.6,381.5,373.6,a,Aklak,411,403,a,30,Aklak,Yes,GP,,,,381.5,373.6,"RT,CAL,WSS,SP",a,411,403.1,"RT,CAL,WSS,SP",a,
300L366920133150,Wagnark L-36,562522,7684391,NAD83,69.262056,-133.417723,08W,Abandoned,22.4,17.9,604,599.5,a,Aklak,,,,,,Yes,GP,,,,604,599.5,"RT,DT,SP,WSS",a,,,,,
300L176950132000,West Atkinson L-17,612679,7743600,NAD83,69.776087,-132.078413,08W,Oil,13.7,-6.1,579.8,560,a,Aklak,677,657,a,97,Aklak,Yes,GP,,,,579.8,560,"RT,CAL,WSS,SP,RHOB",a,677,657.2,"RT,WSS,SP",a,
300P457000136150,West Tarsiut P-45,445545,7757069,NAD83,69.915361,-136.420954,08W,Oil,22.8,-25.5,397,348.7,b,Iperk,443,395,b,46,Iperk,Yes,GP,,,,397,348.7,"RT,WSS",b,443,394.7,"RT,WSS",b,
300H346830130300,Wolverine H-34,432771,7587088,NAD83,68.388646,-130.6358,09W,Abandoned,145.5,140.3,103,98,c,Imperial,,,,,,Yes,"BT, WH",,,,<471,,Logs start at 471m,,,,,,Drlling log indicates IBPF is about 103m
300A286920134300,YaYa A-28,516042,7686343,NAD83,69.286333,-134.593608,08W,Gas,48.8,39.6,674,664.8,a,Kugmallit,,,,,,Yes,TS,674,,a,666.4,657.2,"RT,CAL,SP,WSS",b,724,714.8,"RT,CAL,SP,WSS",a,
300I176920134300,YaYa I-17,517782,7685241,NAD83,69.276335,-134.549721,08W,Abandoned,26.5,18.3,670,661.8,b,Kugmallit,720,712,b,50,Kugmallit,Yes,GP,,,,670,661.8,"RT,WSS",b,720,711.8,"RT,WSS",a,
300M336920134300,YaYa M-33,513268,7678457,NAD83,69.21576,-134.664961,08W,Abandoned,49.1,42.7,468,461.6,a,Kugmallit,,,,,,Yes,GP,,,,468,461.6,"RT,DT,CAL,SP,WSS",a,,,,,
300P536920134300,YaYa P-53,511226,7678100,NAD83,69.212647,-134.71657,08W,Gas,41.5,36,408,402.5,a,Kugmallit,,,,,,Yes,TS,438,408±15,a,386,380.5,"RT,SP,CAL,WSS",a,425,419.5,"RT,WSS",a,
