"  Natural Resources Canada, Geological Survey of Canada, Geoscience Data Repository, BASIN Database"											
"Date: August 20, 2026, 5:02 pm ADT"											
											
Well Name	Basin	Subbasin	Latitude (NAD27)	Longitude (NAD27)	Northing (NAD27)	Easting (NAD27)	Latitude (NAD83)	Longitude (NAD83)	Northing (NAD83)	Easting (NAD83)	Zone (UTM)
CAPE ALLISON L-50	SVERDRUP BASIN		77.82525	-100.300143	8639066	469392	77.826247	-100.303306	8639320	469322	20
CAPE BRETON NO. 1	MARITIMES BASIN		47.25	-60.88	5234908	660423	47.25	-60.88	5235126	660418	20
CAPE FLEETWOOD M-21	SVERDRUP BASIN		76.513278	-103.67694	8492699	534444	76.51406	-103.678614	8492933	534396	20
CAPE MACMILLAN 2K-15	SVERDRUP BASIN		77.743694	-99.09975	8629627	497636	77.744646	-99.102345	8629874	497575	20
CAPE MACMILLAN K-15	SVERDRUP BASIN		77.743917	-99.099611	8629651	497639	77.744869	-99.102206	8629899	497578	20
CAPE MAMEN F-24	SVERDRUP BASIN		77.554639	-109.16556	8609215	544127	77.555514	-109.168096	8609453	544061	20
CAPE NOREM A-80	SVERDRUP BASIN		77.486944	-110.451392	8601033	513269	77.487812	-110.454008	8601272	513204	20
CAPE RACE N-68	JEANNE D'ARC BASIN		46.629253	-48.412744	5166999	698056	46.629253	-48.412744	5167217	698050	22
CAPE SPENCER NO. 1	FUNDIAN BASIN		45.14701	-65.93657	5003260	269140	45.147086	-65.935992	5003484	269192	20
CAPPAHAYDEN C-85	FLEMISH PASS BASIN		47.903442	-46.713533	5306771	371938	47.903442	-46.713533	5306989	371942	23
CAPPAHAYDEN K-67	FLEMISH PASS BASIN		47.943358	-46.665011	5311127	375660	47.943358	-46.665011	5311346	375664	23
CAPPAHAYDEN K-67Z	FLEMISH PASS BASIN		47.943358	-46.665011	5311127	375660	47.943358	-46.665011	5311346	375664	23
CAREY J-34	WHALE BASIN		45.39234	-52.58408	5027539	376002	45.392344	-52.583106	5027755	376082	22
CARTIER D-70	HOPEDALE BASIN		54.65067	-55.67497	6056510	585496	54.650708	-55.673933	6056731	585559	21
CASE SETTLEMENT C-82	MARITIMES BASIN	MONCTON SUBBASIN	45.68518	-65.71842	5062447	288311	45.685	-65.718	5062643	288350	20
CASTEL BAY C-68	ARCTIC STABLE PLATFORM		74.119722	-120.833057	8226440	566174	74.120267	-120.836139	8226656	566075	20
CHADS CREEK B-64	SVERDRUP BASIN		76.385611	-109.905832	8478333	528750	76.386362	-109.908161	8478563	528686	20
CHAR G-07	SVERDRUP BASIN		77.608	-99.518944	8614536	487568	77.60895	-99.521535	8614784	487507	20
CHARLES POINT G-07	ARCTIC FOLD BELT		76.440778	-103.017531	8485095	551877	76.441572	-103.019097	8485329	551831	20
CHEBUCTO K-90	SCOTIAN BASIN	SABLE SUBBASIN	43.66243	-59.71431	4837745	281142	43.662494	-59.713539	4837966	281211	21
CHESHIRE L-97/L-97A	SCOTIAN BASIN	SHELBURNE SUBBASIN	42.443886	-62.24912	4699121	561754	42.443966	-62.248383	4699345	561813	20
